X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-57.815758,-37.92145,train,0.0029349743722413245,86.15800616441209,0.9448041246292576
-57.551331,-37.952179,train,0.0029735730162866866,86.7490272433023,0.9468673963447066
-56.062942,-34.867365,train,0.0030081522963176627,87.9471846380109,0.9486502310199607
-55.985075,-31.35984,train,0.0024067383463180973,76.46101056457293,0.9070310368754626
-57.77782,-37.947426,train,0.0029349743722413245,86.15800616441209,0.9448041246292576
-57.582571,-38.037656,train,0.003084953487758121,89.47602674886966,0.9523988737062976
-58.483682,-34.593629,train,0.0028947375309933206,84.69887791324062,0.942567942507523
-58.761993,-33.490439,train,0.0027449852881001194,82.42212491634427,0.9334195813704426
-58.251742,-34.184198,train,0.002607298680838298,79.72989874801792,0.9237277312400073
-56.012397,-32.799645,train,0.002728115768571679,81.60076812962814,0.93230170414149
-58.747615,-34.587811,test,0.002914559406567511,85.48720754603904,0.9436806523206668
-57.584659,-38.009158,test,0.003084953487758121,89.47602674886966,0.9523988737062976
-55.725867,-34.7684,test,0.0032263800031841245,92.22768170582535,0.9586006090038066
